feature,mean_abs_shap,signed_mean_shap
direction_concentration,0.16258149598072114,0.001862442542563455
duty_cycle,0.1210400820950565,0.020779793129402178
dominant_angle,0.11098735248603639,-0.008126233123729946
median_acceleration,0.10931995563292848,-0.020361535705019994
ink_density,0.1079396839626641,-0.030614757639331695
width,0.10703370230744419,0.032133236034534544
straightness,0.07583256693183481,0.030336448987411134
pen_up_ratio,0.06888622067979361,-0.012263630327607754
median_pen_up_speed,0.05181716634715805,0.005444361392590609
pen_up_path_length,0.050285982836560654,0.014612369444321425
F4_stroke_count,0.041181603446821494,0.005137961138324458
F3_total_time,0.03885626490940526,-0.0004883629247026302
p95_pen_up_speed,0.038717658976803224,0.003117919553478744
path_length,0.037504396781770324,0.004423509036038605
abs_mean_slant,0.0371854366806357,0.02251821894588786
F1_in_air_time,0.03142966494733726,0.00560559109853234
p95_speed,0.031075884208080388,-0.00029332674516054774
mean_pressure,0.027045555804017185,-0.005165047653444362
F2_on_paper_time,0.02686823564799475,-0.0016925941260774408
median_speed,0.023850574105944586,-0.018607449126696006
aspect_ratio,0.022836321531047806,0.0056220515821280926
height,0.016570534496073645,0.0005558486415174567
mean_slant,0.015374029302620133,-0.00887474062076702
std_slant,0.01442063398231469,0.003326291463848902
stop_ratio,0.013536680693597517,0.004883884912827865
